game_name,app_id,review_id,review_text,voted_up,votes_up,playtime_forever
Left 4 Dead 2,550,209802453,"A very fun co-op game to play with friends. The best zombie survival game I have played yet. Modding also makes the game very replayable and funny! (There's just something about being charged by a breakdancing witch while the Caramelldansen plays as she approaches) [b] 8/10 [/b]
",True,0,469
Left 4 Dead 2,550,209802392,good,True,0,1781
Left 4 Dead 2,550,209801972,this game is so fun and moddable for even a 1 hour experience would get you wanting more of the game thank you valve.,True,0,492
Left 4 Dead 2,550,209801967,like,True,0,2356
Left 4 Dead 2,550,209801039,"what can i say, this game is a classic, before the days of micro transactions. With the ungodly amount of mods this game has its practically unlimited fun for the price of quarter pounder meal!",True,0,1943
Left 4 Dead 2,550,209799018,:),True,0,5901
Left 4 Dead 2,550,209798759,peak horde shooter,True,0,726
Left 4 Dead 2,550,209793475,aaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,0,254
Left 4 Dead 2,550,209792209,"nias
",True,0,2850
Left 4 Dead 2,550,209791234,looks like we've been left for dead! hahahahahhaha,True,0,5268
Left 4 Dead 2,550,209790514,Left 4 Dead 2 > Back 4 Blood,True,0,2805
Left 4 Dead 2,550,209790070,"da
",True,0,538
Left 4 Dead 2,550,209789218,"I was left for dead by my team mates as the called me multiple slurs
- 10/10 would recommend to anyone under the age of 9.",True,0,77
Left 4 Dead 2,550,209787519,"I love this game so much, just read another review, i cant put into words how sweet and home-like this game is too me. people say its repetative but i dont think so. the monotony of every crowd of zombies is very comforting to me, plsyed this in the first place because of the gmod animations of bill and francis and the tf2 mercs. coach is such a role model too . this game is so awesome, just play buy it and fund gaben's science research or whatever hes doing out there in the sea and with the air.",True,0,1108
Left 4 Dead 2,550,209786426,5,True,0,613
Left 4 Dead 2,550,209786270,ded,True,0,13509
Left 4 Dead 2,550,209783605,Has all the content from the first game and more with new weapons and modes,True,0,238
Left 4 Dead 2,550,209783293,zombies 👍,True,0,829
