game_name,app_id,review_id,review_text,voted_up,votes_up,playtime_forever
Mortal Kombat 1,1971870,210220280,too many Fa6s on this game,True,0,3735
Mortal Kombat 1,1971870,210219497,OMG ghost face bro,True,0,619
Mortal Kombat 1,1971870,210162887,the best all of time,True,3,3053
Mortal Kombat 1,1971870,210159789,"Highly Recommended: A Flawless Victory for the New Era.

The core combat has been polished to perfection. MK1 feels faster and more fluid than its predecessors, rewarding creativity and quick thinking. The biggest game-changer is the Kameo system. These assist fighters add an incredible layer of strategic depth, allowing for mind-blowing combo extensions, defensive breaks, and setup opportunities that drastically change how you approach every matchup. Mastering your main fighter and their Kameo partner provides hundreds of hours of satisfying experimentation.

If you're looking for a fighting game with a world-class story, deep and customizable combat, and visuals that will drop your jaw, look no further. MK1 is a spectacular entry, and the Kameo system ensures that competitive play stays fresh and exciting for years to come. Get Over Here! (And buy this game =p",True,0,3974
Mortal Kombat 1,1971870,210152814,not bad at all,True,0,2690
Mortal Kombat 1,1971870,210146709,"weird gameplay change, dont recommend",False,0,47
Mortal Kombat 1,1971870,210132501,very cool,True,0,2397
Mortal Kombat 1,1971870,210123087,Not for the faint-hearted,True,0,2678
Mortal Kombat 1,1971870,210117976,"Terrible pacing, visuals and ""kameo"" system.",False,0,25
Mortal Kombat 1,1971870,210086341,"MK1, what is there to say.",True,0,328
Mortal Kombat 1,1971870,210000478,"Awesome, just missing most of the special characters from previous games.",True,1,1676
Mortal Kombat 1,1971870,209989564,Game is good only if you handle stress,True,0,1432
Mortal Kombat 1,1971870,209985067,"The gameplay feels way too stiff. I couldn't get a feel for anything no matter how much I tried. The inputs feel way more strict than previous entries and the move sets of the actual characters feels way too restrictive and slow. I tried getting some practice in with the character challenges and couldn't make any headway with the characters I tried. The cameo half of the system appears to be where all of the freeform control happens, but the other half of the game feels so uncomfortable that I couldn't even bring myself to keep trying any of the towers or even the main story.",False,0,383
Mortal Kombat 1,1971870,209973174,Is a good new take on the franchise I guess. But no new content really? The game costs too much for what it has. Lov tho,True,0,1414
Mortal Kombat 1,1971870,209973126,buci,True,0,744
Mortal Kombat 1,1971870,209967574,laggy matches with delay that ruins the game,False,0,1816
Mortal Kombat 1,1971870,209953361,peak gameplay,True,1,2181
Mortal Kombat 1,1971870,209946723,"Makes me sad because I love Mortal Kombat but there is no fukcing way I will ever recommend a game with these scumbag level DLC practices. They cut half the game and then drip feed it back to the community with ridiculously priced DLC. Fuck you WB and Netherrealm!

I will never ever pay full price for these games and encourage everyone else not to buy into this shit. Buy the complete edition 1-2 years down the road for 10 euros. They do the exact same nickel and diming scumbag shit on every MK game, they did it with X, 11 and now 1 too. This need to disappear from the gaming industry. But unfortunately there is just too many clowns who are fine with getting ripped off and eating shit.",False,0,473
Mortal Kombat 1,1971870,209938116,"When I see the faces of the female characters, the song ""Who let the dogs out"" comes to mind.

Playing the story mode was fine. But if I play anything else(""Invasion"", ""Tower Klassic"" etc). I constantly get thrown out of the game at anytime. A box will popup saying ""Unable to connect to the internet"". I could be 90% into a match, I'm about to deliver the final blow to an opponent and the box pops up about internet connection and I get thrown out of the game. It happens so often, for me, it makes the game unplayable. I didn't know if it was a local issue for me, an issue with the MK servers, but I've seen other reviews mention the same thing, so I don't think it's just me. It seems to be a problem.",False,1,1075
Mortal Kombat 1,1971870,209934275,"I've been a fan of the series since day one mk1 on dos, this woke S***t story and cartoonish approach is just not for me, sorry i didn't pirate it first before buying.",False,1,70
Mortal Kombat 1,1971870,209932928,like,True,0,1829
Mortal Kombat 1,1971870,209917547,"great game but every other game on steam allows me to play online without issue no glitches no crashes nothing. when i play mk1 any time i try to play it says error connecting to matchmaking server. I restart my pc, and it will let me play 3 to 4 matches and then says unable to connect online. So i hopped on pub g , worked wihtout issue, few hours later played dead by daylight, csgo , body cam , eldin ring and the finals no issue, but every time i try to fight online on mk1 , unable to connect to match making server. the servers are shittt",False,1,917
Mortal Kombat 1,1971870,209915823,The Best!,True,1,1555
Mortal Kombat 1,1971870,209915392,best game,True,0,1170
Mortal Kombat 1,1971870,209903368,good,True,0,665
Mortal Kombat 1,1971870,209900280,i hate this game,True,0,583
Mortal Kombat 1,1971870,209896542,stopped working after 24 hours,False,0,1402
Mortal Kombat 1,1971870,209883122,very very very very good game and story,True,0,302
Mortal Kombat 1,1971870,209868171,very gorey but fun,True,0,2836
Mortal Kombat 1,1971870,209867592,love it,True,0,29647
Mortal Kombat 1,1971870,209864135,The base game's story was absolutely incredible. The DLC's story was so rushed it was awful. SAVE YOUR MONEY AND DON'T BUY THE DLC.,True,0,2653
Mortal Kombat 1,1971870,209843842,KUJU,True,0,3050
Mortal Kombat 1,1971870,209840790,"""MK12_148_154.11""
Hardest line",True,7,74
Mortal Kombat 1,1971870,209835159,very cool. hrmmm,True,0,321
Mortal Kombat 1,1971870,209823017,"⠀⠀⠀⠀⠀⠀⠀⠀⣀⣤⣴⣶⠾⡿⠿⠿⠿⠷⣶⣦⣤⣀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⣠⣴⡿⣿⡛⠹⣇⣀⠀⡀⠀⠀⠀⠀⠀⠉⠛⢿⣦⣄⠀⠀⠀⠀⠀
⠀⠀⠀⣠⣾⠟⣁⣤⣬⣽⣿⣿⣿⣿⣿⣿⣿⣷⣤⣄⠀⠀⠀⠈⠻⣷⣄⠀⠀⠀
⠀⠀⣴⣿⢁⣾⣿⣿⣿⣿⣿⣿⣿⣿⣯⣭⣝⣿⣿⣟⠃⠀⠀⠀⠀⠈⢿⣦⠀⠀
⠀⣼⡟⢈⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠟⠛⠻⢿⣿⣷⣶⣤⣀⣄⠀⠀⢻⣧⠀
⢰⣿⠀⣿⣿⣿⣿⣿⣿⣧⢿⣿⣿⠿⠟⠛⠶⣄⡀⠙⠿⣾⣿⣿⣿⠁⠀⠀⣿⡆
⣾⡇⠀⣿⣿⣿⣿⣿⣿⣿⠀⠀⠀⠀⠀⠀⠀⠈⠙⣶⣤⣀⣟⣯⡋⠀⠀⠀⢸⣷
⣿⡇⢀⣿⣿⣿⣿⣿⣿⣿⣦⡀⠀⠀⠀⠀⠀⠀⣀⡀⠉⠉⠉⠈⣧⠀⠀⠠⣸⣿
⢿⡇⠾⠟⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⣀⠹⣦⣀⡠⢻⡿
⠸⣿⠀⠀⠈⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠙⠒⠒⣿⠇
⠀⢻⣧⠀⠀⢰⣿⠿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠀⣼⡟⠀
⠀⠀⠻⣷⡐⠴⠏⠀⠿⠛⠻⠿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣇⣾⠟⠀⠀
⠀⠀⠀⠙⢿⣦⣄⣀⠁⠀⠀⢀⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠋⠀⠀⠀
⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠟⠋⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⠻⠿⢿⣿⣿⣿⣿⡿⠿⠟⠛⠉⠀⠀⠀⠀⠀⠀⠀⠀",True,0,14610
Mortal Kombat 1,1971870,209803964,It may not be everyone's cup of tea and I personally prefer 11 but there is enough interesting ideas and mechanics to warrant playing. It's a shame new updates had to cease when the game was truly reaching it's potential and I do miss the krypt.,True,0,859
Mortal Kombat 1,1971870,209794097,Amazing Game. Very well made.,True,0,308
Mortal Kombat 1,1971870,209790372,"""I took a pounding and I liked it""",True,0,821
Mortal Kombat 1,1971870,209784639,"Mam rad ked sa svalnaty muzi biju.

10/10",True,0,1634
Mortal Kombat 1,1971870,209749770,its personally a really good game but if you are to young to play DO NOT GET PEACEMAKER,True,0,753
Mortal Kombat 1,1971870,209740662,pl,True,0,968
Mortal Kombat 1,1971870,209726509,"Krushing Blows removed, weird combo breaker added, strange binds, less creative and spectacular fatalities and some characters have WAY longer combo attacks than others, it's not good compared to 11, it's more on X's level. I played for less than 2 hours and accidentally left the game open, Steam won't refund it even though I find it unplayable, I will not buy anything else until this is made right, it is LUDICROUS to force me to keep this TRASH.",False,0,1307
Mortal Kombat 1,1971870,209724124,"THIS GAME IS PEAK!! As A Die Hard Mortal Kombat Fan! It's Really Amazing, but.. it does not feel like the previous mortal kombat games, story wise.. it's kinda mid, ok, boring or entirely not entertainable. But In Some Other Parts, It's Pretty Enjoyable. I Love The Game And Combo Mechanics Are Really Fun. 8/10 From Me : )",True,0,636
Mortal Kombat 1,1971870,209723633,worst mk game in recent time but oh well its still fire,True,1,2518
Mortal Kombat 1,1971870,209706663,"yes\
",True,0,981
Mortal Kombat 1,1971870,209670688,Dicen que ses malo y nose que más pero la neta esta buenisimoooooooooooooooooooooooooooooooooooooooo.,True,0,1369
Mortal Kombat 1,1971870,209660954,good,True,0,520
Mortal Kombat 1,1971870,209659986,"Terrible , just buy MK 11 instead.",False,0,26599
